x(t-1), y(t-1), x(t), y(t), theta1(t-1), theta2(t-1), theta1(t), theta2(t), training
-2.733229,-0.7276421,-2.659465,-0.962939,35,105,30,105,true
-2.659465,-0.962939,-2.565419,-1.191063,30,105,25,105,true
-2.565419,-1.191063,-2.451844,-1.410129,25,105,20,105,true
-2.451844,-1.410129,-1.934321,-1.47914,20,105,20,90,true
-1.934321,-1.47914,-1.41657,-1.411855,20,90,20,75,true
-1.41657,-1.411855,-0.9338756,-1.212859,20,75,20,60,true
-0.9338756,-1.212859,-1.035969,-1.126907,20,60,25,60,true
-1.035969,-1.126907,-1.130243,-1.032328,25,60,30,60,true
-1.130243,-1.032328,-1.214414,-0.9318519,30,60,35,60,true
-1.214414,-0.9318519,-1.732051,-0.9999996,35,60,35,75,true
-1.732051,-0.9999996,-1.812616,-0.8452363,35,75,35,75,true
-1.812616,-0.8452363,-1.879385,-0.6840401,35,75,45,75,true
-1.879385,-0.6840401,-1.93142,-0.5192461,45,75,45,75,true
-1.93142,-0.5192461,-1.969131,-0.3500335,45,75,50,75,true
-1.969131,-0.3500335,-1.992086,-0.1777501,50,75,55,75,true
-1.992086,-0.1777501,-1.999997,-0.003790259,55,75,60,75,true
-1.999997,-0.003790259,-1.992726,0.1704215,60,75,65,75,true
-1.992726,0.1704215,-1.97029,0.3434502,65,75,70,75,true
-1.97029,0.3434502,-1.932859,0.513865,70,75,75,75,true
-1.932859,0.513865,-2.251505,0.9274573,75,75,75,90,true
-2.251505,0.9274573,-2.452247,1.409428,75,90,75,90,true
-2.452247,1.409428,-2.521406,1.926933,75,90,75,120,true
-2.521406,1.926933,-2.454268,2.444703,75,120,75,135,true
-2.454268,2.444703,-2.25541,2.927454,75,135,75,135,true
-2.25541,2.927454,-1.938382,3.342287,75,135,75,150,true
-1.938382,3.342287,-1.52479,3.660933,75,150,75,180,true
-1.52479,3.660933,-1.042818,3.861675,75,180,75,180,true
-1.042818,3.861675,-0.5253149,3.930835,75,180,75,195,true
-0.5253149,3.930835,-0.865703,3.870138,75,195,70,195,true
-0.865703,3.870138,-1.199717,3.779959,70,195,65,195,true
-1.199717,3.779959,-1.517638,3.663903,65,195,65,195,true
-1.517638,3.663903,-2,3.464102,65,195,65,180,true
-2,3.464102,-2.414214,3.146265,65,180,65,165,true
-2.414214,3.146265,-2.732051,2.732052,65,165,65,150,true
-2.732051,2.732052,-2.931851,2.249689,65,150,65,135,true
-2.931851,2.249689,-3,1.732052,65,135,65,135,true
-3,1.732052,-2.931852,1.214414,65,135,65,120,true
-2.931852,1.214414,-2.732051,0.732052,65,120,65,105,true
-2.732051,0.732052,-2.657906,0.9672323,65,105,65,105,true
-2.657906,0.9672323,-2.563492,1.195204,65,105,70,105,true
-2.563492,1.195204,-2.44957,1.414076,70,105,75,105,true
-2.44957,1.414076,-2.517748,1.93171,75,105,75,120,true
-2.517748,1.93171,-2.449629,2.449352,75,120,75,135,true
-2.449629,2.449352,-2.249855,2.931725,75,135,75,150,true
-2.249855,2.931725,-1.932041,3.345957,75,150,75,165,true
-1.932041,3.345957,-1.517846,3.663817,75,165,75,165,true
-1.517846,3.663817,-1.831393,3.517586,75,165,70,165,true
-1.831393,3.517586,-2.131002,3.344584,70,165,65,165,true
-2.131002,3.344584,-2.414392,3.146128,65,165,60,165,true
-2.414392,3.146128,-2.679409,2.923728,60,165,55,165,true
-2.679409,2.923728,-2.924032,2.679076,55,165,50,165,true
-2.924032,2.679076,-3.146402,2.414036,50,165,45,165,true
-3.146402,2.414036,-3.343052,2.133405,45,165,45,165,true
-3.343052,2.133405,-3.515246,1.83588,45,165,40,165,true
-3.515246,1.83588,-3.661366,1.52375,40,165,35,165,true
-3.661366,1.52375,-3.780034,1.199481,35,165,30,165,true
-3.780034,1.199481,-3.870142,0.8656864,30,165,25,165,true
-3.870142,0.8656864,-3.930865,0.5250866,25,165,20,165,true
-3.930865,0.5250866,-3.961671,0.180479,20,165,15,165,true
-3.961671,0.180479,-3.849631,-0.3294628,15,165,15,150,true
-3.849631,-0.3294628,-3.609426,-0.7930305,15,150,15,135,true
-3.609426,-0.7930305,-3.257427,-1.178633,15,135,15,120,true
-3.257427,-1.178633,-2.817619,-1.459992,15,120,15,105,true
-2.817619,-1.459992,-2.319976,-1.617934,15,105,15,90,true
-2.319976,-1.617934,-1.798413,-1.641694,15,90,15,75,true
-1.798413,-1.641694,-1.288471,-1.529654,15,75,15,60,true
-1.288471,-1.529654,-0.8249032,-1.28945,15,60,15,45,true
